[20.537853241] 2018-01-22 22:56:31,009 - INFO - launcher: Starting sanity checks
[20.537853241] 2018-01-22 22:56:31,009 - INFO - launcher: Checking for Python 3.5+
[21.039247513] 2018-01-22 22:56:31,010 - INFO - launcher: Checking console encoding
[21.039247513] 2018-01-22 22:56:31,010 - INFO - launcher: Setting console encoding to UTF-8
[21.039247513] 2018-01-22 22:56:31,010 - INFO - launcher: Ensuring we're in the right environment
[22.049188614] 2018-01-22 22:56:31,011 - INFO - launcher: Adding local bins/ folder to path
[22.049188614] 2018-01-22 22:56:31,011 - INFO - launcher: Required checks passed.
[23.627042770] 2018-01-22 22:56:31,012 - INFO - launcher: Optional checks passed.
[23.627042770] 2018-01-22 22:56:31,012 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[4.3767917156219482] 2018-01-22 22:56:35,366 - DEBUG - musicbot.bot | In bot.py::MainThread(7068), line 805 in deserialize_queue: Deserializing queue for 355394535301447683
[4.5753381252288818] 2018-01-22 22:56:35,564 - DEBUG - musicbot.bot | In bot.py::MainThread(7068), line 555 in get_player: Created player via deserialization for server 355394535301447683 with 1 entries
[4.5753381252288818] 2018-01-22 22:56:35,564 - INFO - musicbot.bot | In bot.py::MainThread(7068), line 283 in _join_startup_channels: Joined Rakowy Discord/🔨 Minecraft
[4.5763423442840576] 2018-01-22 22:56:35,565 - VOICEDEBUG - musicbot.player | In player.py::MainThread(7068), line 311 in websocket_check: Starting websocket check loop for Rakowy Discord
[4.5763423442840576] 2018-01-22 22:56:35,565 - FFMPEG - musicbot.player | In player.py::MainThread(7068), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-l6mLPmSNE7M-How_to_apply_to_WES_for_Credential_Evaluation_World_Education_Service.webm
[4.7128949165344238] 2018-01-22 22:56:35,702 - FFMPEG - musicbot.player | In player.py::Thread-3 stderr reader(7756), line 409 in filter_stderr: Data from ffmpeg: b'audio_cache\\youtube-l6mLPmSNE7M-How_to_apply_to_WES_for_Credential_Evaluation_World_Education_Service.webm: No such file or directory\r\n'
[8.0976450443267822] 2018-01-22 22:56:39,086 - INFO - musicbot.entry | In entry.py::MainThread(7068), line 219 in _really_download: Download started: https://www.youtube.com/watch?v=fcfUk5ptoCY
[11.2205500602722168] 2018-01-22 22:56:42,209 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 2564 in on_voice_state_update: Voice state update for 329605484409782277/CYG4N#2023 on Rakowy Discord/🔨 Minecraft -> [UNMUTE, UNDEAFEN]
[13.8069820404052734] 2018-01-22 22:56:44,796 - INFO - musicbot.entry | In entry.py::MainThread(7068), line 229 in _really_download: Download complete: https://www.youtube.com/watch?v=fcfUk5ptoCY
[13.8114950656890869] 2018-01-22 22:56:44,800 - FFMPEG - musicbot.player | In player.py::MainThread(7068), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-fcfUk5ptoCY-Spandau_Ballet_-_Gold_-_Lyrics.webm
[19.3699378967285156] 2018-01-22 22:56:50,359 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(7068), line 2564 in on_voice_state_update: Voice state update for 329605484409782277/CYG4N#2023 on Rakowy Discord/🔨 Minecraft -> [MUTE, DEAFEN]
